CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Purchase Frequency,Membership
1,Female,45,37384,16,Unknown,6,5,13,Standard
2,Male,35,68019,34,Doctor,8,4,8,Gold
3,Male,47,54425,33,Unknown,7,1,17,Silver
4,Male,60,48756,30,Doctor,6,4,14,Platinum
5,Female,34,28888,28,Engineer,0,2,12,Gold
6,Female,34,42254,33,Engineer,9,2,16,Gold
7,Female,61,42254,58,Entertainment,3,7,16,Silver
8,Male,49,42254,62,Unknown,9,2,20,Platinum
9,Male,30,42254,49,Marketing,9,6,12,Standard
10,Male,46,42254,39,Unknown,2,4,10,Standard
11,Male,39,30463,81,Unknown,8,4,17,Gold
12,Female,39,27955,47,Lawyer,3,2,20,Silver
13,Male,39,47841,73,Lawyer,3,1,12,Gold
14,Male,39,15104,35,Engineer,6,4,12,Silver
15,Female,39,44911,60,Marketing,6,4,16,Gold
16,Female,29,69031,83,Unknown,5,3,16,Silver
17,Male,22,33190,1,Artist,0,3,14,Gold
18,Female,42,17357,33,Doctor,4,2,11,Silver
19,Female,24,42479,64,Engineer,14,4,20,Gold
20,Male,16,71476,80,Unknown,0,3,19,Silver
21,Female,39,54811,55,Unknown,8,6,17,Silver
22,Female,39,46208,51,Unknown,9,2,15,Standard
23,Male,39,30150,90,Marketing,0,1,13,Standard
24,Male,39,15644,81,Unknown,3,1,16,Standard
25,Male,39,53286,28,Healthcare,0,1,21,Gold
26,Male,39,57320,52,Marketing,12,5,14,Platinum
27,Male,20,12914,59,Entertainment,9,3,20,Standard
28,Male,43,31352,92,Unknown,9,3,18,Standard
29,Female,28,65069,71,Marketing,5,1,14,Silver
30,Female,33,56352,47,Unknown,10,3,11,Gold
31,Female,39,54912,55,Marketing,4,2,18,Platinum
32,Female,39,24397,2,Lawyer,10,5,21,Gold
33,Female,39,51555,74,Marketing,4,4,15,Silver
34,Female,39,56959,66,Engineer,2,7,23,Standard
35,Male,39,10728,80,Unknown,12,2,22,Standard
36,Female,19,60517,46,Unknown,4,4,10,Standard
37,Female,41,63644,53,Lawyer,1,4,20,Standard
38,Female,8,10698,37,Marketing,1,5,14,Standard
39,Female,18,49954,21,Executive,1,4,22,Gold
40,Female,40,57280,34,Entertainment,8,4,9,Silver
41,Female,49,23923,4,Marketing,5,0,10,Platinum
42,Male,40,26779,72,Lawyer,5,3,20,Gold
43,Male,36,73932,1,Healthcare,5,6,12,Gold
44,Male,33,17400,100,Lawyer,5,2,12,Standard
45,Male,15,34466,5,Entertainment,5,5,9,Platinum
46,Male,27,46939,87,Unknown,5,3,14,Silver
47,Male,31,14360,27,Unknown,5,3,15,Platinum
48,Male,53,45270,64,Entertainment,5,2,17,Gold
49,Female,43,69163,31,Homemaker,5,6,11,Silver
50,Male,11,27101,91,Artist,5,5,14,Silver
51,Male,42,61934,51,Unknown,8,3,13,Standard
52,Male,32,74895,76,Executive,4,4,18,Standard
53,Male,27,42307,51,Unknown,7,3,22,Platinum
54,Female,47,64098,58,Engineer,11,0,7,Silver
55,Female,53,70921,65,Unknown,4,5,15,Platinum
56,Female,51,15486,36,Engineer,7,4,8,Silver
57,Male,25,18335,17,Unknown,0,6,17,Standard
58,Female,33,31364,17,Lawyer,4,2,18,Gold
59,Male,42,70484,51,Engineer,0,3,9,Standard
60,Male,52,66418,37,Artist,5,2,12,Standard
61,Male,30,42254,1,Marketing,5,3,19,Gold
62,Female,35,42254,62,Entertainment,5,1,23,Silver
63,Female,21,42254,19,Doctor,3,5,18,Platinum
64,Female,20,42254,20,Executive,14,5,21,Standard
65,Female,50,42254,48,Artist,0,3,18,Platinum
66,Female,58,50419,27,Doctor,0,3,12,Gold
67,Male,36,62788,53,Lawyer,11,2,10,Platinum
68,Male,53,70566,99,Homemaker,2,4,16,Standard
69,Male,43,11167,40,Healthcare,1,2,14,Gold
70,Male,28,37192,23,Unknown,14,4,11,Silver
71,Male,43,11062,54,Executive,8,2,13,Silver
72,Male,61,28540,30,Homemaker,2,3,18,Platinum
73,Female,37,34244,50,Marketing,5,2,17,Platinum
74,Male,61,31545,57,Homemaker,12,4,16,Silver
75,Female,39,31689,49,Artist,7,1,15,Gold
76,Male,50,21174,51,Healthcare,10,4,17,Gold
77,Male,39,32925,54,Homemaker,8,5,19,Gold
78,Female,33,70638,89,Entertainment,8,1,12,Platinum
79,Male,39,47497,43,Entertainment,5,2,16,Standard
80,Male,8,19348,53,Unknown,5,2,12,Standard
81,Female,34,33714,71,Homemaker,6,4,17,Gold
82,Male,43,48102,61,Entertainment,7,5,16,Standard
83,Female,60,18924,41,Entertainment,3,5,11,Standard
84,Female,30,47098,72,Artist,5,3,16,Standard
85,Male,25,34394,28,Artist,3,1,20,Standard
86,Male,30,16801,44,Entertainment,5,5,15,Silver
87,Male,51,47614,30,Engineer,0,4,10,Gold
88,Female,42,16731,64,Artist,15,4,13,Silver
89,Male,30,58136,79,Unknown,2,2,15,Standard
90,Male,45,33625,55,Homemaker,3,4,17,Gold
91,Male,39,27337,51,Unknown,1,2,22,Gold
92,Female,52,45307,28,Doctor,7,0,12,Silver
93,Female,27,17056,32,Entertainment,4,3,14,Gold
94,Male,33,21516,20,Doctor,1,1,18,Platinum
95,Male,32,54261,1,Healthcare,7,4,18,Platinum
96,Male,16,11542,40,Entertainment,8,1,11,Gold
97,Male,42,31677,42,Artist,4,2,16,Gold
98,Female,41,56732,100,Doctor,2,4,15,Platinum
99,Female,38,60343,89,Homemaker,13,1,17,Silver
100,Female,34,49081,63,Executive,6,6,14,Gold
101,Male,16,72856,100,Artist,0,2,9,Gold
102,Female,31,37569,84,Lawyer,10,3,15,Platinum
103,Female,32,33322,1,Executive,1,4,24,Platinum
104,Female,25,29065,76,Unknown,15,4,11,Standard
105,Male,35,68561,67,Marketing,5,1,22,Standard
106,Female,44,27924,42,Engineer,9,3,11,Silver
107,Male,66,32556,14,Healthcare,0,1,18,Gold
108,Male,40,70580,64,Executive,0,2,17,Gold
109,Female,41,64693,1,Doctor,10,6,14,Silver
110,Male,36,36962,49,Entertainment,6,4,18,Standard
111,Female,9,38295,34,Unknown,13,4,12,Gold
112,Male,37,23807,18,Marketing,6,3,16,Gold
113,Female,38,52348,79,Homemaker,5,3,19,Platinum
114,Male,74,36432,48,Lawyer,11,2,16,Gold
115,Male,35,27749,54,Lawyer,9,0,11,Silver
116,Female,42,51459,72,Healthcare,4,3,19,Standard
117,Male,37,36256,49,Lawyer,0,0,12,Standard
118,Female,20,67854,61,Executive,0,7,21,Silver
119,Female,55,50262,70,Unknown,3,3,21,Silver
120,Male,49,47080,64,Healthcare,0,1,15,Silver
121,Female,49,11324,57,Artist,15,6,15,Standard
122,Female,24,35731,94,Doctor,2,2,9,Platinum
123,Female,59,69171,81,Lawyer,2,4,7,Platinum
124,Female,16,45909,47,Homemaker,0,2,12,Gold
125,Male,46,33803,27,Executive,3,3,16,Platinum
126,Male,70,29870,65,Lawyer,2,0,18,Platinum
127,Male,23,44578,55,Homemaker,11,2,24,Gold
128,Female,29,16588,92,Healthcare,5,3,17,Silver
129,Female,39,62075,74,Marketing,4,4,14,Standard
130,Female,30,48069,69,Marketing,4,4,16,Platinum
131,Male,14,36790,50,Engineer,8,5,13,Silver
132,Male,39,63338,28,Artist,3,1,10,Gold
133,Female,22,35289,45,Engineer,7,3,14,Platinum
134,Male,45,65129,61,Unknown,11,3,15,Standard
135,Male,24,38178,6,Executive,6,3,12,Gold
136,Female,61,38710,81,Healthcare,4,4,16,Gold
137,Male,26,25485,100,Lawyer,1,1,17,Silver
138,Female,33,54482,1,Unknown,3,3,14,Standard
139,Female,50,30652,14,Executive,7,5,19,Silver
140,Male,19,14748,55,Marketing,0,6,13,Silver
141,Female,41,31233,35,Homemaker,8,6,15,Gold
142,Female,57,19435,56,Unknown,5,7,6,Platinum
143,Male,13,13709,48,Doctor,4,3,22,Silver
144,Female,40,68425,24,Unknown,2,2,15,Gold
145,Male,41,40355,82,Unknown,3,1,16,Silver
146,Male,49,65771,61,Doctor,7,1,13,Platinum
147,Female,19,67799,36,Homemaker,4,5,11,Platinum
148,Female,18,23116,87,Executive,2,2,20,Gold
149,Male,45,35470,37,Unknown,6,3,11,Silver
150,Male,42,52344,18,Doctor,7,2,18,Silver
151,Male,41,52918,54,Unknown,0,5,14,Silver
152,Female,43,62224,58,Marketing,7,1,16,Platinum
153,Male,27,49298,63,Executive,15,3,19,Silver
154,Female,41,52956,67,Lawyer,6,4,12,Gold
155,Male,42,24683,62,Lawyer,0,3,14,Platinum
156,Male,27,71629,61,Homemaker,5,7,18,Gold
157,Male,65,10504,35,Marketing,0,6,10,Gold
158,Female,45,43982,32,Executive,17,3,14,Silver
159,Male,20,44299,68,Doctor,13,5,15,Standard
160,Male,47,38016,56,Entertainment,2,3,16,Silver
161,Male,23,33960,70,Healthcare,0,1,16,Platinum
162,Female,49,43591,7,Entertainment,1,2,16,Gold
163,Male,55,27312,37,Lawyer,4,1,17,Platinum
164,Male,25,47797,97,Entertainment,0,1,10,Standard
165,Female,52,56196,63,Executive,4,0,9,Gold
166,Male,44,59285,57,Engineer,4,4,10,Platinum
167,Male,50,12105,67,Lawyer,5,3,20,Silver
168,Female,66,46395,100,Homemaker,5,1,4,Gold
169,Male,34,55740,99,Homemaker,1,3,10,Standard
170,Male,26,74159,10,Healthcare,1,2,17,Platinum
171,Female,24,32700,19,Artist,5,3,10,Gold
172,Female,25,44620,9,Executive,2,6,17,Standard
